HierarchyKey,GeoMaterial,IndentedName,Definition
01,Sedimentary material,Sedimentary material,"An aggregation of particles deposited by gravity, air, water, or ice, or as accumulated by other natural agents operating at Earths surface such as chemical precipitation or secretion by organisms. May include unconsolidated material (sediment) and (or) sedimentary rock. Does not include sedimentary material directly deposited as a result of volcanic activity."
01.01,Sediment,--Sediment,"Unconsolidated material (sediment) composed of particles deposited by gravity, air, water, or ice, or as accumulated by other natural agents operating at Earths surface such as chemical precipitation or secretion by organisms. Does not include sedimentary material directly deposited as a result of volcanic activity."
01.01.01,Clastic sediment,----Clastic Sediment,"Sediment formed by weathering and erosion of preexisting rocks or minerals; eroded particles or clasts are transported and deposited by gravity, air, water, or ice."
01.01.01.01,Sand and gravel of unspecified origin,------Sand and gravel of unspecified origin,"Sediment composed mostly of sand and (or) gravel, formed by weathering and erosion of preexisting rocks or minerals; eroded particles or clasts are transported and deposited by gravity, air, water, or ice."
01.01.01.02,Silt and clay of unspecified origin,------Silt and clay of unspecified origin,"Sediment composed mostly of silt and (or) clay, formed by weathering and erosion of preexisting rocks or minerals; eroded particles or clasts are transported and deposited by gravity, air, water, or ice."
01.01.01.03,Alluvial sediment,------Alluvial Sediment,"Unconsolidated material deposited by streams or other bodies of running water as sorted or semisorted sediment in streambed, or on its floodplain or delta, or as cone or fan at base of mountain slope. Grain size varies from clay to gravel."
01.01.01.03.01,"Alluvial sediment, mostly coarse-grained","--------Alluvial Sediment, mostly coarse-grained","Unconsolidated material deposited by streams or other bodies of running water as sorted or semisorted sediment in streambed, or on its floodplain or delta, or as cone or fan at base of mountain slope. Sediment is mostly sand, gravel, and coarser material but may also contain some silt and clay."
01.01.01.03.02,"Alluvial sediment, mostly fine-grained","--------Alluvial Sediment, mostly fine-grained","Unconsolidated material deposited by streams or other bodies of running water as sorted or semisorted sediment in streambed, or on its floodplain or delta, or as cone or fan at base of mountain slope. Sediment is mostly silt and clay but may also contain some sand and gravel."
01.01.01.04,Glacial till,------Glacial till,"Mostly unsorted and unstratified material, generally unconsolidated, deposited directly by and underneath or adjacent to glacier without subsequent reworking by meltwater. Consists of heterogeneous mixture of clay, silt, sand, gravel, and boulders, ranging widely in size and shape."
01.01.01.04.01,"Glacial till, mostly sandy","--------Glacial till, mostly sandy","Mostly unsorted and unstratified material, generally unconsolidated, deposited directly by and underneath or adjacent to glacier without subsequent reworking by meltwater. Consists of heterogeneous mixture of clay, silt, sand, gravel, and boulders, ranging widely in size and shape. Relatively sandy in texture."
01.01.01.04.02,"Glacial till, mostly silty","--------Glacial till, mostly silty","Mostly unsorted and unstratified material, generally unconsolidated, deposited directly by and underneath or adjacent to glacier without subsequent reworking by meltwater. Consists of heterogeneous mixture of clay, silt, sand, gravel, and boulders, ranging widely in size and shape. Relatively loamy (silty) in texture."
01.01.01.04.03,"Glacial till, mostly clayey","--------Glacial till, mostly clayey","Mostly unsorted and unstratified material, generally unconsolidated, deposited directly by and underneath or adjacent to glacier without subsequent reworking by meltwater. Consists of heterogeneous mixture of clay, silt, sand, gravel, and boulders, ranging widely in size and shape. Relatively clayey in texture."
01.01.01.05,Ice-contact and ice-marginal sediment,------Ice-contact and Ice-marginal Sediment,"Mostly sand-, silt-, and gravel-sized particles or clasts derived from rock or preexisting sediment that has been eroded and transported by glaciers. As glacier melted, material was deposited by running water essentially in contact with glacial ice or was transported and deposited by glacially fed streams. Includes sediment deposited into water bodies adjacent to glacier."
01.01.01.05.01,"Ice-contact and ice-marginal sediment, mostly coarse-grained","--------Ice-contact and Ice-marginal Sediment, mostly coarse-grained","Mostly sand- and gravel-sized particles or clasts, with lesser amounts of silt and clay, derived from rock or preexisting sediment that has been eroded and transported by glaciers. As glacier melted, material was deposited by running water essentially in contact with glacial ice or was transported and deposited by glacially fed streams. Includes sediment deposited into water bodies adjacent to glacier."
01.01.01.05.02,"Ice-contact and ice-marginal sediment, mostly fine-grained","--------Ice-contact and Ice-marginal Sediment, mostly fine-grained","Mostly silt- and clay-sized particles or clasts, with lesser amounts of sand and gravel, derived from rock or preexisting sediment that has been eroded and transported by glaciers. As glacier melted, material was deposited by running water essentially in contact with glacial ice or was transported and deposited by glacially fed streams. Includes sediment deposited into water bodies adjacent to glacier."
01.01.01.06,Eolian sediment,------Eolian Sediment,"Silt- and sand-sized sediment, deposited by wind."
01.01.01.06.01,Dune sand,--------Dune Sand,"Mostly sand-sized sediment, deposited by wind. Typically characterized by various dune landforms."
01.01.01.06.02,Loess,--------Loess,"Silty sediment, deposited by wind, commonly near glacial margin."
01.01.01.07,Lacustrine sediment,------Lacustrine Sediment,"Mostly well-sorted and well-bedded material that ranges in grain size from clay to gravel, deposited in perennial to intermittent lakes. Much of sediment is derived from material eroded and transported by streams. Includes deposits of lake-marginal beaches and deltas."
01.01.01.07.01,"Lacustrine sediment, mostly coarse-grained","--------Lacustrine Sediment, mostly coarse-grained","Mostly well-sorted and well-bedded material, generally sand and gravel sized, with lesser amounts of silt and clay, deposited in perennial to intermittent lakes. Much of sediment is derived from material eroded and transported by streams. Mostly deposits of lake-marginal beaches and deltas."
01.01.01.07.02,"Lacustrine sediment, mostly fine-grained","--------Lacustrine Sediment, mostly fine-grained","Mostly well-sorted and well-bedded material, generally silt and clay sized, with lesser amounts of sand, deposited in perennial to intermittent lakes. "
01.01.01.08,Playa sediment,------Playa Sediment,"Fine-grained clastic sediment and evaporitic salts, deposited in ephemeral lakes in centers of undrained basins. Includes material deposited in playas, mud flats, salt flats, and adjacent saline marshes. Generally interbedded with eolian sand and with lacustrine sediment deposited during wetter climatic periods; commonly intertongues upslope with sediment deposited by alluvial fans."
01.01.01.09,Coastal zone sediment,------Coastal zone Sediment,"Mud and sand, with lesser amounts of gravel, deposited on beaches, on barrier islands, or in nearshore-marine, deltaic, or various low-energy shoreline (mud flat, tidal flat, sabka, algal flat) environments."
01.01.01.09.01,"Coastal zone sediment, mostly coarse-grained","--------Coastal zone Sediment, mostly coarse-grained","Mostly sand, silt, and gravel, deposited on beaches, in dunes, and in shallow-marine and related alluvial environments."
01.01.01.09.02,"Coastal zone sediment, mostly fine-grained","--------Coastal zone Sediment, mostly fine-grained","Mostly clay and silt, deposited in lagoons, tidal flats, backbarriers, and coastal marshes."
01.01.01.10,Marine sediment,------Marine Sediment,"Mud and sand, deposited in various marine environments. May originate from erosion of rocks and sediment or may be derived from marine organisms (of carbonate or siliceous composition)."
01.01.01.10.01,"Marine sediment, mostly coarse-grained","--------Marine Sediment, mostly coarse-grained","Mud, sand, and gravel eroded from rocks and sediment on land, transported by streams, and deposited in marine deltas and basins. Mostly siliceous in composition."
01.01.01.10.02,"Marine sediment, mostly fine-grained","--------Marine Sediment, mostly fine-grained","Mostly clay- and silt-sized sediment, deposited in relatively deep, quiet water, far removed from areas where coarser grained clastic sediments are washed into marine environment. Includes sediment derived from marine organisms."
01.01.01.11,Mass movement sediment,------Mass movement Sediment,"Sediment formed by downslope transport of particles or clasts produced by weathering and breakdown of underlying rock, sediment, and (or) soil. Composed of poorly sorted and poorly stratified material that ranges in size from clay to boulders. Includes colluvial, landslide, talus, and rock-avalanche deposits."
01.01.01.11.01,Colluvium and other widespread mass-movement sediment,--------Colluvium and other widespread Mass-movement Sediment,"Sediment formed by slow, relatively widespread, downslope transport of particles or clasts produced by weathering and breakdown of underlying rock, sediment, and (or) soil. Composed of poorly sorted and poorly stratified material that ranges in size from clay to boulders."
01.01.01.11.02,"Debris flows, landslides, and other localized mass-movement sediment","--------Debris flows, landslides, and other localized Mass-movement Sediment","Sediment formed by relatively localized, downslope transport of particles or clasts produced by weathering and breakdown of underlying rock, sediment, and (or) soil. Composed of poorly sorted and poorly stratified material that ranges in size from clay to boulders. Speed of downslope transport ranges from rapid to imperceptible."
01.01.02,Residual material,----Residual material,"Unconsolidated material, developed in place by weathering of underlying rock or sediment. Usually forms relatively thin surface layer that conceals unweathered or partly altered source material. Material from which soils are formed."
01.01.03,Carbonate sediment,----Carbonate Sediment,"Sediment formed by biotic or abiotic precipitation from aqueous solution of carbonates of calcium, magnesium, or iron (for example, limestone, dolomite)."
01.01.04,Peat and muck,----Peat and muck,"Unconsolidated material, principally composed of plant remains, with lesser amounts of fine-grained clastic sediment. Deposited in water-saturated environment such as swamp, marsh, or bog. With lithification, such material becomes coal."
01.02,Sedimentary rock,--Sedimentary rock,"Consolidated material (rock) composed of particles transported and deposited by gravity, air, water, or ice, or accumulated by other natural agents operating at Earths surface, such as chemical precipitation or secretion by organisms. Does not here include sedimentary material directly deposited as result of volcanic activity."
01.02.01,Clastic sedimentary rock,----Clastic Sedimentary rock,"Sedimentary rock, composed predominantly of particles or clasts derived by erosion, weathering, or mass-wasting of preexisting rock and deposited by gravity, air, water, or ice."
01.02.01.01,Conglomerate,------Conglomerate,"Sedimentary rock, composed predominantly of particles or clasts derived by erosion and weathering of preexisting rock; contains more than 30 percent gravel-sized clasts."
01.02.01.02,Sandstone,------Sandstone,"Sedimentary rock, composed predominantly of particles or clasts derived by erosion and weathering of preexisting rock; consists mostly of sand-sized particles, with or without fine-grained matrix of silt or clay."
01.02.01.03,Mostly sandstone,------mostly Sandstone,"Mostly sandstone, interbedded with other sedimentary rocks that locally may include conglomerate and finer grained clastic rocks (mudstone), carbonates, and (or) coal."
01.02.01.04,Sandstone and mudstone,------Sandstone and mudstone,"Sandstone and mudstone (including shale and siltstone), in approximately equal (or unspecified) proportions. "
01.02.01.05,Mudstone,------mudstone,"Sedimentary rock, composed predominantly of particles or clasts derived by erosion and weathering of preexisting rock; consists mostly of mud (that is, silt- and clay-sized particles). Includes shale and siltstone."
01.02.01.06,Mostly mudstone,------mostly mudstone,"Mostly mudstone, interbedded with other sedimentary rocks that locally may include coarser grained clastic rocks (sandstone, conglomerate), carbonates, and (or) coal."
01.02.02,Carbonate rock,----Carbonate rock,"Sedimentary rock, consisting chiefly of carbonate minerals such as limestone or dolomite. "
01.02.02.01,Limestone,------Limestone,"Carbonate sedimentary rock, consisting chiefly of calcite."
01.02.02.02,Dolomite,------Dolomite,"Carbonate sedimentary rock, consisting chiefly of dolomite. Although dolostone is the proper analog to limestone, it has not often been applied to dolomitic units."
01.02.03,Mostly carbonate rock,----mostly Carbonate rock,"Mostly carbonate rock, interbedded with other sedimentary rock types."
01.02.04,Chert,----Chert,"Sedimentary rock, composed chiefly of microcrystalline or cryptocrystalline quartz."
01.02.05,Evaporitic rock,----Evaporitic rock,"Sedimentary rock, composed primarily of minerals produced by evaporation of saline solution. Examples include gypsum, anhydrite, other diverse sulfates, halite (rock salt), primary dolomite, and rocks composed of various nitrates and borates."
01.02.06,Iron-rich sedimentary rock,----Iron-rich Sedimentary rock,"Sedimentary rock, in which at least half (by volume) of observed minerals are iron bearing (hematite, magnetite, limonite group minerals, siderite, iron sulfides)."
01.02.07,Coal and lignite,----Coal and lignite,"Organic-rich sedimentary rock, formed from compaction and alteration of plant remains. Coal is consolidated, harder, black rock. Lignite is semiconsolidated, brown to black, earthy material that may contain large particles of recognizable plant parts and tends to crack upon drying."
02,Sedimentary and extrusive igneous material,Sedimentary and extrusive igneous material,Either (1) sedimentary rock and (or) unconsolidated material (sediment) and extrusive igneous material (volcanic rock and [or] sediment) or (2) volcanic rock and (or) sediment and such material after erosion and redeposition.
03,Igneous rock,Igneous rock,Rock and fragmental material that solidified from molten or partly molten material (magma). 
03.01,Extrusive igneous material,--Extrusive igneous material,"Molten material that was erupted onto Earths surface, fusing into rock or remaining as unconsolidated particles. Includes pyroclastic flows, air-fall tephra, lava flows, and volcanic mass flows."
03.01.01,Volcaniclastic (fragmental) material,----Volcaniclastic (fragmental) material,Rock and unconsolidated material consisting of particles or clasts that were formed by volcanic explosion or aerial expulsion from volcanic vent.
03.01.01.01,Pyroclastic flows,------Pyroclastic flows,"Hot ash, pumice, and rock fragments erupted from volcano or caldera. Material moves downslope commonly in chaotic flows; once deposited, hot fragments may compact under their own weight and weld together."
03.01.01.01.01,Felsic-composition pyroclastic flows,--------Felsic-composition Pyroclastic flows,"Hot ash, pumice, and rock fragments erupted from volcano or caldera. Material moves downslope commonly in chaotic flows; once deposited, hot fragments may compact under their own weight and weld together. Because of their high-silica content and resulting high viscosity, parental magmas tend to erupt explosively. Includes rhyolite, dacite, trachyte, latite; rocks are commonly light-colored."
03.01.01.01.02,Intermediate-composition pyroclastic flows,--------Intermediate-composition Pyroclastic flows,"Hot ash, pumice, and rock fragments erupted from volcano. Material moves downslope commonly in chaotic flows; once deposited, hot fragments may compact under their own weight and weld together. Parental magma commonly erupts from stratovolcanoes as thick lava flows but also can generate strong explosive eruptions to form pyroclastic flows. Includes rocks that are, in color and mineral composition, intermediate between felsic and mafic rocks (for example, andesite)."
03.01.01.01.03,Mafic-composition pyroclastic flows,--------Mafic-composition Pyroclastic flows,"Hot ash, pumice, and rock fragments erupted from volcano. Material moves downslope commonly in chaotic flows; once deposited, hot fragments may compact under their own weight and weld together. Because of their low silica content and resulting low viscosity, parental magmas tend to erupt gently as lava flows rather than more forcefully as pyroclastic flows. Includes basalt; rocks are commonly dark-colored. "
03.01.01.02,Air-fall tephra,------Air-fall tephra,"Fragments of volcanic rock and lava, of various sizes, carried into air by explosions and by hot gases in eruption columns or lava fountains; known as tephra. As tephra falls to ground, with increasing distance from volcano, average size of individual rock particles and thickness of resulting deposit decrease. Fine tephra deposited at some distance from volcano is known as volcanic ash."
03.01.01.02.01,Felsic-composition air-fall tephra,--------Felsic-composition Air-fall tephra,"Fragments of volcanic rock and lava, of various sizes, carried into air by explosions and by hot gases in eruption columns or lava fountains; known as tephra. As tephra falls to ground, with increasing distance from volcano, average size of individual rock particles and thickness of resulting deposit decrease. Because of their high silica content and resulting high viscosity, felsic-composition magmas tend to erupt explosively, readily forming pumice and volcanic ash. Composed of light-colored rocks (for example, rhyolite, dacite, trachyte, latite). "
03.01.01.02.02,Intermediate-composition air-fall tephra,--------Intermediate-composition Air-fall tephra,"Fragments of volcanic rock and lava, of various sizes, carried into the air by explosions and by hot gases in eruption columns or lava fountains; known as tephra. As tephra falls to ground, with increasing distance from volcano, average size of individual rock particles and thickness of resulting deposit decrease. Parental magma commonly erupts from stratovolcanoes as thick lava flows but also can generate strong explosive eruptions to form pyroclastic flows. Includes rocks that are, in color and mineral composition, intermediate between felsic and mafic rocks (for example, andesite). "
03.01.01.02.03,Mafic-composition air-fall tephra,--------Mafic-composition Air-fall tephra,"Fragments of volcanic rock and lava, of various sizes, carried into the air by explosions and by hot gases in eruption columns or lava fountains; known as tephra. As tephra falls to ground, with increasing distance from volcano, average size of individual rock particles and thickness of resulting deposit decrease. Because of their low silica content and resulting low viscosity, parental magmas tend to erupt gently as lava flows, and so these deposits are uncommon. Includes basalt; rocks are commonly dark-colored. "
03.01.02,Lava flows,----Lava flows,"Lateral, surficial outpourings of molten lava from vent or fissure; also, solidified bodies of rock that form when they cool. Composed generally of fine-grained, dark-colored rocks (for example, basalt), which tend to form extensive sheets that have generally low relief, except in vent areas where cinder cones or shield volcanoes may form. Includes basaltic shield volcanoes, which may become very large (for example, Hawaii)."
03.01.02.01,Felsic-composition lava flows,------Felsic-composition Lava flows,"Lateral, surficial outpourings of molten lava from vent or fissure; also, solidified bodies of rock that form when they cool. Because of their high silica content and resulting high viscosity, parental magmas tend to erupt explosively, and so these deposits are uncommon. Includes fine-grained, light-colored rock with rhyolitic, dacitic, trachytic, and latitic composition."
03.01.02.02,Intermediate-composition lava flows,------Intermediate-composition Lava flows,"Lateral, surficial outpourings of molten lava from vent or fissure; also, solidified bodies of rock that form when they cool. Parental magma commonly erupts from stratovolcanoes as thick lava flows. Includes rocks that are, in color and in mineral composition, intermediate between felsic and mafic rocks (for example, andesite)."
03.01.02.03,Mafic-composition lava flows,------Mafic-composition Lava flows,"Lateral, surficial outpourings of molten lava from vent or fissure; also, solidified bodies of rock that form when they cool. Low-silica parental magmas have low viscosity and tend to form extensive sheets that have generally low relief. Includes basaltic shield volcanoes, which may become very large (for example, in Hawaii). Composed of fine-grained, dark rocks, including basaltic."
03.01.03,Volcanic mass flow,----Volcanic Mass flow,"Volcanic deposits formed by mass movement (for example, debris avalanches, debris flows, lahar deposits), in many cases triggered by volcanic eruption. Debris avalanches that occur on volcanoes clearly without eruptive trigger may be classified as sedimentary (for example, as Debris flows, landslides, and other localized mass-movement sediment)."
03.02,Intrusive igneous rock,--Intrusive igneous rock,Rock that solidified from molten or partly molten material (magma) below Earths surface.
03.02.01,Coarse-grained intrusive igneous rock,----coarse-grained Intrusive igneous rock,"Rock that solidified from molten or partly molten material (magma) at some depth beneath Earths surface, thereby cooling slowly enough for mineral crystals to grow large enough to be visible to naked eye."
03.02.01.02,"Coarse-grained, felsic-composition intrusive igneous rock","------coarse-grained, Felsic-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at some depth beneath Earths surface, thereby cooling slowly enough for mineral crystals to grow large enough to be visible to naked eye. Composed mostly of light-colored minerals (for example, feldspar, quartz). Includes granitic, syenitic, and monzonitic rock."
03.02.01.03,"Coarse-grained, intermediate-composition intrusive igneous rock","------coarse-grained, Intermediate-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at some depth beneath Earths surface, thereby cooling slowly enough for mineral crystals to grow large enough to be visible to naked eye. Intermediate in color and in mineral composition (between felsic and mafic igneous rock). Includes dioritic rock."
03.02.01.04,"Coarse-grained, mafic-composition intrusive igneous rock","------coarse-grained, Mafic-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at some depth beneath Earths surface, thereby cooling slowly enough for mineral crystals to grow large enough to be visible to naked eye. Composed mostly of feldspar and dark-colored minerals. Includes gabbroic rock."
03.02.01.05,Ultramafic intrusive igneous rock,------Ultramafic Intrusive igneous rock,"Rock that solidified from molten or partly molten material (magma) at some depth beneath Earths surface, thereby cooling slowly enough for mineral crystals to grow large enough to be visible to naked eye. Composed almost entirely of mafic minerals (for example, hypersthene, augite, olivine)."
03.02.02,Fine-grained intrusive igneous rock,----fine-grained Intrusive igneous rock,"Rock that solidified from molten or partly molten material (magma) at shallow depth beneath Earths surface, thereby cooling quickly. Generally fine grained but may contain large mineral crystals (phenocrysts). Mostly found as tabular dikes or sills."
03.02.02.01,"Fine-grained, felsic-composition intrusive igneous rock","------fine-grained, Felsic-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at shallow depth beneath Earths surface, thereby cooling quickly. Generally fine grained but may contain large mineral crystals (phenocrysts). Mostly found as tabular dikes or sills. Composed mostly of light-colored minerals. Includes rhyolitic, dacitic, trachytic, and latitic rock."
03.02.02.02,"Fine-grained, intermediate-composition intrusive igneous rock","------fine-grained, Intermediate-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at shallow depth beneath Earths surface, thereby cooling quickly. Generally fine grained but may contain large mineral crystals (phenocrysts). Mostly found as tabular dikes or sills. Intermediate in color and in mineral composition (between felsic and mafic igneous rock). Includes andesitic rock."
03.02.02.03,"Fine-grained, mafic-composition intrusive igneous rock","------fine-grained, Mafic-composition Intrusive igneous rock","Rock that solidified from molten or partly molten material (magma) at shallow depth beneath Earths surface, thereby cooling quickly. Generally fine grained but may contain large mineral crystals (phenocrysts). Mostly found as tabular dikes or sills. Composed mostly of dark-colored minerals. Includes basaltic rock."
03.02.03,Exotic-composition intrusive igneous rock,----Exotic-composition Intrusive igneous rock,"Rock that solidified from molten or partly molten material (magma) below Earths surface that has exotic mineralogical, textural, or field setting characteristics. Typically dark colored with abundant phenocrysts. Includes kimberlite, lamprophyre, lamproite, and foiditic rocks."
04,Igneous and metamorphic rock,Igneous and metamorphic rock,Consists of coarse-grained intrusive igneous rock and generally medium- to high-grade metamorphic rock.
05,Metamorphic rock,Metamorphic rock,"Rock derived from preexisting rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust."
05.01,"Regional metamorphic rock, of unspecified origin","--Regional metamorphic rock, of unspecified origin","Rock derived from preexisting rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked regional changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Origin of preexisting rock is mixed (for example, igneous and sedimentary) or is not known. "
05.01.01,"Lower-grade metamorphic rock, of unspecified origin","----Lower-grade metamorphic rock, of unspecified origin","Rock derived from preexisting rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to relatively mild regional changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Origin of preexisting rock is mixed (for example, igneous and sedimentary) or is not known. Includes slate and phyllite."
05.01.02,"Medium and high-grade regional metamorphic rock, of unspecified origin","----Medium and high-grade Regional metamorphic rock, of unspecified origin","Rock derived from preexisting rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to relatively intense regional changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Origin of preexisting rock is mixed (for example, igneous and sedimentary) or is not known. Includes amphibolite, granulite, schist, and gneiss."
05.01.03,Contact-metamorphic rock,----contact-metamorphic rock,"Altered rock that originated by local processes of thermal metamorphism, genetically related to intrusion and extrusion of magmas and taking place at or near contact with body of igneous rock. Metamorphic changes are effected by heat and fluids emanating from magma and by some deformation because of emplacement of igneous mass."
05.01.04,Deformation-related metamorphic rock,----Deformation-related metamorphic rock,"Rock derived from preexisting rocks by essentially solid-state mineralogical, chemical, or structural changes in response to strong deformation, commonly in association with marked changes in temperature, pressure, and (or) chemical environment. Generally forms in narrow, planar zones of local deformation (for example, along faults); characterized by foliation or alignment of mineral grains. Includes mylonite and cataclasite."
05.02,Metasedimentary rock,--Metasedimentary rock,"Rock derived from preexisting sedimentary rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust."
05.02.01,"Slate and phyllite, of sedimentary-rock origin","----Slate and phyllite, of Sedimentary-rock origin","Fine-grained rock derived from preexisting sedimentary rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Includes phyllite and slate (compact, fine-grained rock that possesses strong cleavage and, hence, can be split into slabs and thin plates). Mostly formed from fine-grained material such as mudstone."
05.02.02,"Schist and gneiss, of sedimentary-rock origin","----Schist and gneiss, of Sedimentary-rock origin","Foliated rock derived from preexisting sedimentary rocks by essentially solid-state mineralogical, chemical, or structural changes in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Includes schist (characterized by such strong foliation or alignment of minerals that it readily splits into flakes or slabs) and gneiss (characterized by alternating, irregular bands of different mineral composition). Mostly formed from fine-grained material such as mudstone."
05.02.03,Meta-carbonate rock,----Meta-Carbonate rock,"Rock derived from preexisting carbonate sedimentary rocks and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Characterized by recrystallization of carbonate minerals in source rock. Includes marble (for which preexisting rock was dominantly limestone or other rock composed of calcite), dolomitic marble, meta-dolostone, and meta-dolomite (for which preexisting rock contained appreciable amount of magnesium)."
05.02.04,Quartzite,----Quartzite,"Rock derived from preexisting quartz-rich sedimentary rocks (commonly sandstone) and altered by essentially solid-state mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, shear stress, and (or) chemical environment, generally at depth in Earths crust. "
05.03,Metaigneous rock,--Metaigneous rock,"Rock derived from preexisting igneous rocks and altered by essentially solid-state, mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, shear stress, and (or) chemical environment, generally at depth in Earths crust. "
05.03.01,Meta-ultramafic rock,----Meta-Ultramafic rock,"Rock derived from preexisting ultramafic rocks by essentially solid-state, mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Composed mostly of magnesium-bearing minerals (for example, serpentine, talc, magnesite)."
05.03.02,Meta-mafic rock,----Meta-Mafic rock,"Rock derived from preexisting mafic rocks by essentially solid-state, mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Composed mostly of iron- and magnesium-bearing, dark-colored and (or) green minerals. Includes greenstone, amphibolite, and metagabbro."
05.03.03,Meta-felsic and intermediate rock,----Meta-Felsic and Intermediate rock,"Rock derived from preexisting felsic and intermediate-composition rocks by essentially solid-state, mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Composed mostly of light-colored minerals; relatively enriched in silica. Includes metagranite, metadiorite, and meta-andesite."
05.03.04,Meta-volcaniclastic rock,----Meta-Volcaniclastic rock,"Rock derived from preexisting volcaniclastic rocks by essentially solid-state, mineralogical, chemical, or structural changes, in response to marked changes in temperature, pressure, deformation, and (or) chemical environment, generally at depth in Earths crust. Composed of deformed but recognizable particles or clasts of volcanic explosive material."
06,Other materials,Other materials:,Other materials
06.01,Rock and sediment,--rock and Sediment,"Various rocks and sediment, not differentiated."
06.02,Rock,--rock,"Various rock types, not differentiated."
06.03,"""Made"" or human-engineered land","--""Made"" or human-engineered land","Modern, unconsolidated material known to have human-related origin."
06.04,Water or ice,--Water or Ice,Water or ice
06.05,Unmapped area,--Unmapped area,Unmapped area
